task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	r1_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
64	2.4907600884780905	2	2374.085587176471	27.50923991152191	27.141081408079284	26.633172100615166	0.9934969562149156	2	408.38187566138396	30.993496956214916	28.57709492826957	28.50297530443272	0	0	2	0	0	0	0	0	0	0	0	0
65	2.2624040441237057	2	2451.519709219959	27.737595955876294	27.15011950728833	28.50309080025579	1.2388898384038143	2	488.67330819584	28.761110161596186	28.57988303786543	28.44936441218271	0	0	2	0	0	0	0	0	0	0	0	0
66	1.6013960885265668	2	2530.799145139489	28.398603911473433	27.16875360287318	29.040434320901305	1.9634163274001146	3	566.942104281848	28.036583672599885	28.571774092115195	29.019511441814114	0	0	1	1	0	0	0	0	0	0	0	0
67	10.698008243272117	2	2584.683872127021	19.301991756727883	27.053065928665163	27.652535283337574	1.4441232595142708	3	646.6605935157039	28.55587674048573	28.57154030753241	27.667682270869825	0	0	1	1	0	0	0	0	0	0	0	0
68	7.442261374613732	0	62.97368699587	22.557738625386268	26.98791625760315	27.119619237773872	2.3960466071584534	4	737.0995569606879	32.39604660715845	28.626967935063224	27.424828429904096	1	0	0	0	1	0	0	0	0	0	0	0
69	6.349350867136472	0	164.44895816662597	36.34935086713647	27.12165103773934	28.30883952546555	1.9102063017786222	4	826.1822162198199	31.910206301778622	28.673871340302014	28.400510460021923	1	0	0	0	1	0	0	0	0	0	0	0
70	5.825073847649193	1	264.46062265797997	35.82507384764919	27.244234457597226	29.209258249199213	1.9713354085382662	1	904.428904870984	28.028664591461734	28.664783921304263	29.13601369218577	0	2	0	0	0	0	0	0	0	0	0	0
71	3.3492914146792927	1	357.560727857293	33.34929141467929	27.329026915334477	29.63108244250635	1.4999173313731333	1	983.991635654234	28.500082668626867	28.662496403905966	29.67743234210905	0	2	0	0	0	0	0	0	0	0	0	0
72	6.419810014251944	2	459.232697480413	36.419810014251944	27.453558190662115	31.389214167861457	2.8790508715801693	1	1075.778986004062	32.87905087158017	28.72025742401109	31.821531580970902	0	1	1	0	0	0	0	0	0	0	0	0
73	1.818095907263288	2	537.9071797393029	28.181904092736712	27.46340070285231	32.38394812770595	3.2245029763242883	3	1168.5307234796342	33.22450297632429	28.78112560715046	32.46679376462253	0	0	1	1	0	0	0	0	0	0	0	0
74	2.2619626459787447	3	615.3425340192789	27.738037354021255	27.467062524867895	31.605662413311006	1.8077887081017252	3	1247.23398000285	28.192211291898275	28.773273416280432	31.23386291232297	0	0	0	2	0	0	0	0	0	0	0	0
75	0.7525329660207731	3	696.9917128224708	29.247467033979227	27.49048889998778	30.576102230955975	1.598898760620898	2	1326.5203876294502	28.401101239379102	28.76837641395278	30.613345895747717	0	0	1	1	0	0	0	0	0	0	0	0
76	0.9090535832109836	4	778.2039382360068	29.090946416789016	27.51127406254364	30.187511395958683	1.898358526561431	3	1404.9708034094663	28.10164147343857	28.75971751862143	30.147667276439858	0	0	0	1	1	0	0	0	0	0	0	0
77	0.5443152456537277	4	863.4734849634568	30.544315245653728	27.550159205916845	29.560117799580034	0.5490231841719435	1	1487.1881136869863	29.450976815828056	28.768579817303564	29.217310394004823	0	1	0	0	1	0	0	0	0	0	0	0
78	0.26842770770149116	3	946.4741242794569	29.73157229229851	27.577772029795096	29.372277213961006	1.9963296829941513	1	1565.3650266552943	28.00367031700585	28.75889741856562	28.850193948029165	0	1	0	1	0	0	0	0	0	0	0	0
79	2.498873245308179	4	1023.2481031363048	27.50112675469182	27.576813963856306	28.82650288809622	2.165220337859111	2	1643.0704532121042	27.83477966214089	28.747345946610313	28.790759725120477	0	0	1	0	1	0	0	0	0	0	0	0
80	2.7978963287176164	3	1099.187309218635	27.202103671282384	27.572187910861565	28.58622338885079	1.9707535593406575	1	1732.3221402319302	31.970753559340658	28.787141102323034	28.943188620846946	0	1	0	1	0	0	0	0	0	0	0	0
81	2.7047116904826325	0	1175.386655749371	27.295288309517368	27.568811086454925	28.763622810119784	1.1967697149879442	1	1812.7311581109223	28.803230285012056	28.78733731186802	28.83378169127713	1	1	0	0	0	0	0	0	0	0	0	0
82	1.3417392595916482	4	1255.390966983011	28.658260740408352	27.58193698590015	28.645176240752598	0.4366377132637602	1	1895.2622111613941	29.56336228673624	28.796687010360408	28.656414787843413	0	1	0	0	1	0	0	0	0	0	0	0
83	0.6094606664554121	2	1337.439555955823	29.390539333544588	27.60346796622925	28.622311491968027	2.1142040400544495	1	1973.1100582162421	27.88579595994555	28.785843069284038	28.610524056261987	0	1	1	0	0	0	0	0	0	0	0	0
84	1.022680798658861	4	1424.044539852079	31.02268079865886	27.64369399955195	28.962679460658695	2.6302758180608947	1	2049.517204890822	27.369724181939105	28.769182847079982	28.916173912638516	0	1	0	0	1	0	0	0	0	0	0	0
