task	r0_energy	r0_config	r0_reward	r1_energy	r1_config	r1_reward	r2_energy	r2_config	r2_reward	r3_energy	r3_config	r3_reward	r4_energy	r4_config	r4_reward	r5_energy	r5_config	r5_reward	r6_energy	r6_config	r6_reward	r7_energy	r7_config	r7_reward	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
70	30.731937629399994	0	3159.5668353312735	36.212328162045	0	3229.771256601506	83.002986957264	0	3565.9785224218585	35.036545987968	6	3182.4749637807354	35.88531897312	0	3617.9472465841573	50.16944807670399	0	3223.4073665355204	35.195349598793996	3	3364.9691266324044	35.015882755919996	0	3795.433799548718	6	0	0	1	0	0	1	0	0	0	0	0
71	30.543194374560002	0	3190.1100297058333	52.10321462995501	0	3281.874471231461	62.13105864930999	0	3628.1095810711686	30.416209113744003	6	3212.8911728944795	36.41725189632	0	3654.3644984804773	31.411021019872003	0	3254.8183875553923	37.13219802873	3	3402.101324661134	35.131791116832	0	3830.56559066555	6	0	0	1	0	0	1	0	0	0	0	0
72	30.556523991167992	0	3220.6665536970013	37.5044803938	0	3319.378951625261	33.76281946038	0	3661.8724005315485	30.500846628048	6	3243.3920195225273	38.192893764480004	0	3692.5573922449576	32.08518318753799	0	3286.9035707429302	35.423313305031	3	3437.5246379661653	38.356720568364	0	3868.922311233914	6	0	0	1	0	0	1	0	0	0	0	0
73	30.762511088064	0	3251.4290647850653	40.5311347815	0	3359.910086406761	33.669632068765	0	3695.5420326003136	30.665624433792	6	3274.057643956319	52.854424255919994	0	3745.4118165008776	31.42037553684	0	3318.32394627977	35.015079283632	3	3472.5397172497974	39.159536660073	0	3908.0818478939873	6	0	0	1	0	0	1	0	0	0	0	0
74	31.345217478036002	0	3282.774282263101	36.20448299628	0	3396.114569403041	76.436760577024	0	3771.9787931773376	31.190744542584	6	3305.2483884989033	43.26289139620799	0	3788.6747078970857	43.49508535875599	0	3361.819031638526	45.82967219906399	3	3518.3693894488615	39.45253455396	0	3947.5343824479473	6	0	0	1	0	0	1	0	0	0	0	0
75	30.92364797445	0	3313.697930237551	36.180076604759996	0	3432.294646007801	53.19236284868	0	3825.171156026018	32.087487655212	6	3337.3358761541153	41.5871899728	0	3830.2618978698856	34.62649040067	0	3396.445522039196	39.9090411027	3	3558.2784305515615	74.66145034492799	0	4022.1958327928755	6	0	0	1	0	0	1	0	0	0	0	0
76	30.931251293250003	0	3344.6291815308014	50.536049428827006	0	3482.830695436628	49.219610442578	0	3874.3907664685958	50.039228703544	6	3387.375104857659	35.927960555925004	0	3866.1898584258106	36.20999795966	0	3432.655519998856	41.491129853880004	3	3599.7695604054416	37.501225100136	0	4059.6970578930113	6	0	0	1	0	0	1	0	0	0	0	0
77	31.071955884353997	0	3375.7011374151552	39.2491582125	0	3522.079853649128	49.567367559653995	0	3923.95813402825	57.30303470642401	6	3444.6781395640833	37.244011617225	0	3903.4338700430358	32.507854850912	0	3465.163374849768	38.895842832552	3	3638.6654032379934	67.27128714747	6	4126.968345040481	5	0	0	1	0	0	2	0	0	0	0	0
78	32.233842360720004	0	3407.934979775875	36.100671291482996	0	3558.180524940611	48.656020006152	0	3972.614154034402	55.560737741928	6	3500.238877306011	52.5933836025	0	3956.027253645536	31.484408660144002	0	3496.6477835099117	35.2449871116	3	3673.9103903495934	72.176217867072	0	4199.144562907553	6	0	0	1	0	0	1	0	0	0	0	0
79	47.89536373452599	0	3455.8303435104012	44.652029275391996	0	3602.8325542160032	34.717547556369	0	4007.331701590771	56.072208055500006	6	3556.3110853615112	54.887411196	0	4010.914664841536	32.55162713087999	0	3529.199410640792	52.10570901887999	3	3726.0160993684735	51.366971951064	0	4250.511534858618	6	0	0	1	0	0	1	0	0	0	0	0
