task	r0_energy	r0_config	r0_reward	r0_rate	r1_energy	r1_config	r1_reward	r1_rate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
96	34.056295701575	0	34.056295701575	12.199270102056717	39.09082511304	2	121.481220881889	14.002683622581493	1	0	1	0	0	0	0	0	0	0	0	0
97	38.79755605008	1	72.853851751655	13.897632017939106	41.263021048031995	0	162.744241929921	14.780783658996535	1	1	0	0	0	0	0	0	0	0	0	0
98	119.29676825576	2	192.150620007415	42.7331707184812	71.546227893072	0	234.290469822993	25.628499543786987	1	0	1	0	0	0	0	0	0	0	0	0
99	53.490584070302006	1	245.64120407771702	19.160806234138036	49.744432004904006	0	284.034901827897	17.818901016682034	1	1	0	0	0	0	0	0	0	0	0	0
100	42.66053781968	1	288.30174189739705	15.281386681676421	47.083531304160005	0	331.118433132057	16.865742556714032	1	1	0	0	0	0	0	0	0	0	0	0
101	36.026686048026	1	324.3284279454231	12.905081569442148	45.838922156118	0	376.957355288175	16.419912414131822	1	1	0	0	0	0	0	0	0	0	0	0
102	35.648343620868005	1	359.97677156629106	12.769555923893016	47.995690534973996	0	424.953045823149	17.192486161781726	1	1	0	0	0	0	0	0	0	0	0	0
103	37.322714953944	1	397.29948652023506	13.369330729770986	152.26696281179997	0	577.220008634949	54.54338966392835	1	1	0	0	0	0	0	0	0	0	0	0
104	36.499328121191	1	433.7988146414261	13.074386192665433	53.756445243108	0	630.976453878057	19.256040087083463	1	1	0	0	0	0	0	0	0	0	0	0
105	97.465121174016	1	531.2639358154421	34.91287922651319	81.23449958604799	0	712.2109534641049	29.098925224853012	1	1	0	0	0	0	0	0	0	0	0	0
106	38.814786444555004	1	570.0787222599971	13.903804099542091	50.598152889344	0	50.598152889344	18.12471148275009	1	1	0	0	0	0	0	0	0	0	0	0
107	38.754352839384	0	38.754352839384	13.882156240973373	88.02674367077198	1	138.62489656011599	31.53196788206757	1	1	0	0	0	0	0	0	0	0	0	0
108	78.91523956979199	1	117.66959240917599	28.268145517537427	54.77039971966799	2	193.39529627978396	19.619247660776594	0	1	1	0	0	0	0	0	0	0	0	0
109	54.92443559283599	2	172.59402800201198	19.6744246899711	43.29453765105	2	236.68983393083397	15.508491098883583	0	0	2	0	0	0	0	0	0	0	0	0
110	66.82555836622	3	239.419586368232	23.937513444616116	90.162756130167	0	326.85259006100097	32.29710667349266	1	0	0	1	0	0	0	0	0	0	0	0
111	91.77703729127998	4	331.19662365951194	32.87535664165253	36.569080026125995	0	363.421670087127	13.099371949657073	1	0	0	0	1	0	0	0	0	0	0	0
112	56.27693818585999	2	387.47356184537193	20.15890323075582	38.017424364288	0	401.439094451415	13.618181861834504	1	0	1	0	0	0	0	0	0	0	0	0
113	78.58905192771998	2	466.0626137730919	28.151302183063873	76.14182468362499	0	477.58091913503995	27.274683468761186	1	0	1	0	0	0	0	0	0	0	0	0
114	75.282404870088	2	541.34501864318	26.966831595255407	72.90121695948599	0	550.4821360945259	26.113868761606923	1	0	1	0	0	0	0	0	0	0	0	0
115	37.127565299711996	2	578.472583942892	13.299426376016235	42.07674481461	0	592.558880909136	15.072266799263284	1	0	1	0	0	0	0	0	0	0	0	0
116	36.028522666343996	2	614.501106609236	12.905739462570983	37.16022983904	0	629.7191107481759	13.311127106521791	1	0	1	0	0	0	0	0	0	0	0	0
