task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	r1_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19
90	0.3643494054971086	19	5919.34653368759	30.36434940549711	24.017635977768744	34.25541963935748	0.8759674595870734	19	6204.5404275407955	30.875967459587073	25.174804777849392	29.87064083904904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
91	1.580311497484427	19	6004.876543993277	31.580311497484427	24.099838972548262	34.17959754819083	6.130589840833473	19	6302.394108359719	36.13058984083347	25.29388939809922	30.417161498823912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
92	2.22207957762609	19	6092.144676182681	32.22207957762609	24.187174893032967	34.18984639870814	0.8972848177284902	19	6386.074254741067	30.89728481772849	25.354140961751153	30.439394440207344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
93	3.3269199823174134	19	6182.405084468124	33.32691998231741	24.284406223770038	33.96830851502245	3.1367388762195674	19	6475.819589197496	33.13673887621957	25.43693455658592	30.564669382384277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
94	2.625742439347192	19	6270.766470241356	32.62574243934719	24.372209762881376	33.42702729645451	0.8681272215847322	19	6559.420767089287	30.868127221584732	25.494105005691175	30.547656400811555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
95	5.791033517468307	19	6367.700519351166	35.79103351746831	24.491155843658323	33.40151633683643	0.5298654890348296	19	6642.105819455423	30.52986548903483	25.54656084405934	32.45656451900725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
96	1.5430669918146442	19	6453.129659120664	31.543066991814644	24.56385595858777	32.94203707957019	2.4911913263438734	19	6730.1027959642715	32.49119132634387	25.618154972742687	32.56292407559856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
97	5.95854887480715	19	6550.5173956566	35.95854887480715	24.680128335283886	32.84157235124123	3.442037129740797	19	6820.674979857319	33.4420371297408	25.697990504956948	32.85361791432919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
98	5.047608681021785	19	6645.438002501033	35.047608681021785	24.784850358978208	33.20878298129797	0.6612129385787178	19	6903.715764899303	30.661212938578718	25.748124064892522	32.84350496840983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
99	0.47481806344911703	19	6725.402036912526	29.525181936550883	24.832253674753932	32.7984842903935	1.4341967530515731	19	6988.850047772152	31.434196753051573	25.804984791774114	32.046721185270314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
