task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	r1_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
56	30.502880336409227	0	5218.491965902207	30.502880336409227	33.8039965402572	33.598110600579545	39.624576781362464	0	5215.8291134823385	39.624576781362464	33.786747293812724	33.99298154837339	2	0	0	0	0	0	0	0	0	0	0	0
57	28.76770976830893	0	5296.404513191377	28.76770976830893	33.71716400970637	33.21812626150213	38.58507743223471	0	5320.330364861307	38.58507743223471	33.869477123785515	33.41106440479019	2	0	0	0	0	0	0	0	0	0	0	0
58	29.09432287747384	0	5375.201637651202	29.09432287747384	33.63881077017701	33.18002228146563	37.2844710813024	0	5421.309140706501	37.2844710813024	33.92735837730275	33.206760821129095	2	0	0	0	0	0	0	0	0	0	0	0
59	36.608371304736	0	5474.349309934862	36.608371304736	33.68830344575299	33.81565967344146	30.330516559923705	0	5503.454289722961	30.330516559923705	33.86741101367977	33.58281270825279	2	0	0	0	0	0	0	0	0	0	0	0
60	32.253828898368	0	5561.703429867942	32.253828898368	33.66478746956635	33.80802533541869	31.286723508075323	0	5588.189165890665	31.286723508075323	33.825104661128876	33.43384785481946	2	0	0	0	0	0	0	0	0	0	0	0
61	30.616512917760005	0	5644.623152353542	30.616512917760005	33.61562175098882	33.44521111295454	31.793464059219694	0	5674.296464384385	31.793464059219694	33.79233626432389	32.66209984074026	2	0	0	0	0	0	0	0	0	0	0	0
62	30.236136333849597	0	5726.512688257718	30.236136333849597	33.561979125319944	32.808942497294325	31.993384188512504	0	5760.945213228273	31.993384188512504	33.76378146946975	32.1497731729221	2	0	0	0	0	0	0	0	0	0	0	0
63	32.04434130975508	0	5813.299445971638	32.04434130975508	33.538266034451745	32.44477501615023	31.898711574622528	0	5847.337557076209	31.898711574622528	33.73463975236276	31.906199065482248	2	0	0	0	0	0	0	0	0	0	0	0
64	37.775545516535985	0	5915.608215078923	37.775545516535985	33.603454949560735	32.02291648666225	32.06859885489047	0	5934.190012308204	32.06859885489047	33.709008353940106	32.19672471615892	2	0	0	0	0	0	0	0	0	0	0	0
65	35.065669145206144	0	6010.577735680524	35.065669145206144	33.62560971010082	32.47790874084273	33.10808699016	0	6023.857747906554	33.10808699016	33.69990348479192	32.660045089051195	2	0	0	0	0	0	0	0	0	0	0	0
66	30.76700413469538	0	6093.905038545324	30.76700413469538	33.582943955244026	32.67509421074474	30.328061300263382	0	6105.996247261434	30.328061300263382	33.64957748203776	32.5285539348491	2	0	0	0	0	0	0	0	0	0	0	0
67	31.606219870338464	0	6179.505217360824	31.606219870338464	33.55387448340718	32.66556228849799	30.058831766381537	0	6187.4055832953845	30.058831766381537	33.596772397984	32.4721070462849	2	0	0	0	0	0	0	0	0	0	0	0
68	29.293592244756923	0	6258.842029690374	29.293592244756923	33.49213126255717	32.19703213978509	30.13202165976554	0	6269.01314195725	30.13202165976554	33.54655861916923	32.02036314829938	2	0	0	0	0	0	0	0	0	0	0	0
69	36.19423839389538	0	6356.868092007174	36.19423839389538	33.53073279300486	31.86223243603532	30.55062183188677	0	6351.75440941861	30.55062183188677	33.50375952220806	31.71043473373495	2	0	0	0	0	0	0	0	0	0	0	0
70	37.53779480379693	0	6458.532952934123	37.53779480379693	33.587170286114606	31.957647299594033	32.58359774365735	0	6440.001653307681	32.58359774365735	33.49079949715805	31.90519837494377	2	0	0	0	0	0	0	0	0	0	0	0
71	35.488017731741536	0	6554.646334290924	35.488017731741536	33.61357094508165	32.37729973464838	38.0564478697669	0	6543.071199621633	38.0564478697669	33.55421128011095	33.15013839159873	2	0	0	0	0	0	0	0	0	0	0	0
72	35.62685401192283	0	6651.1357305732145	35.62685401192283	33.641150165175354	33.552201805757164	38.82457827786239	0	6648.221099124177	38.82457827786239	33.62640808829932	34.428776456905254	2	0	0	0	0	0	0	0	0	0	0	0
73	37.77827360348972	0	6753.451888249332	37.77827360348972	33.69705723866609	35.27724459277853	38.434439564774394	0	6752.314372945441	38.434439564774394	33.69138148663007	36.107486383279415	2	0	0	0	0	0	0	0	0	0	0	0
74	34.70272985624566	0	6847.4384482766645	34.70272985624566	33.710466206900485	35.95833552951445	37.87466542254277	0	6854.891591798161	37.87466542254277	33.747158605775574	36.69073988858004	2	0	0	0	0	0	0	0	0	0	0	0
75	30.227080934137845	0	6929.303459139955	30.227080934137845	33.66463219015361	35.95966850161414	33.02535559817722	0	6944.335263209891	33.02535559817722	33.73766119778086	36.00384428706612	2	0	0	0	0	0	0	0	0	0	0	0
76	33.784963257673105	0	7020.804401296153	33.784963257673105	33.66619493129023	35.83353883965928	32.773862958359615	0	7033.097808722116	32.773862958359615	33.72514433752863	35.30528034851856	2	0	0	0	0	0	0	0	0	0	0	0
77	29.76394776797427	0	7101.41509316775	29.76394776797427	33.61616612150412	34.718989724123695	32.25766040110966	0	7120.462305641788	32.25766040110966	33.70633044090788	34.06229793644843	2	0	0	0	0	0	0	0	0	0	0	0
78	31.30285512660923	0	7186.19365913565	31.30285512660923	33.58688370384723	33.41475608876037	30.785486779764923	0	7203.839665670318	30.785486779764923	33.66935773633645	32.64986081025943	2	0	0	0	0	0	0	0	0	0	0	0
79	32.01332640519951	0	7272.896418149732	32.01332640519951	33.56721423761413	32.380920465154816	31.615588917241848	0	7289.465218987848	31.615588917241848	33.64368562609776	31.755012814624724	2	0	0	0	0	0	0	0	0	0	0	0
80	29.830676612734525	0	7353.687833975888	29.830676612734525	33.52108414347981	31.71537238248439	33.333056170153846	0	7379.742246115348	33.333056170153846	33.6398506945429	31.746142439682053	2	0	0	0	0	0	0	0	0	0	0	0
81	30.04925600870216	0	7435.071235666122	30.04925600870216	33.47874477598253	31.37257171478496	32.71368695354288	0	7468.34181494786	32.71368695354288	33.62855601477461	31.366554114303284	2	0	0	0	0	0	0	0	0	0	0	0
82	34.648122445465845	0	7528.909900622592	34.648122445465845	33.492833663566664	31.85497158205244	31.169388280045293	0	7552.758908206316	31.169388280045293	33.59892748785016	31.746144369946006	2	0	0	0	0	0	0	0	0	0	0	0
83	33.19620937544972	0	7618.816301014435	33.19620937544972	33.48930242204146	31.93547979483005	33.63795787720615	0	7643.861710790416	33.63795787720615	33.5993921353425	32.22072690457418	2	0	0	0	0	0	0	0	0	0	0	0
84	36.69693002284799	0	7718.203819826315	36.69693002284799	33.52703921734507	32.68908726633903	31.73488821232246	0	7729.810366365456	31.73488821232246	33.57745679507167	32.701017195847086	2	0	0	0	0	0	0	0	0	0	0	0
85	41.936544158946454	0	7831.781960256795	41.936544158946454	33.62482415852648	33.91160395046828	34.31113850599384	0	7822.736366485856	34.31113850599384	33.58598797775681	34.00941218405227	2	0	0	0	0	0	0	0	0	0	0	0
86	35.38170555422474	0	7927.607412799487	35.38170555422474	33.6450181975575	34.54265713860453	36.99967624591754	0	7922.943822985216	36.99967624591754	33.62522577394257	34.971256067842006	2	0	0	0	0	0	0	0	0	0	0	0
87	35.7162774331392	0	8024.338997514239	35.7162774331392	33.668555234325474	35.07807156660933	32.51278406539422	0	8010.999279828991	32.51278406539422	33.61258439089088	35.21241114514423	2	0	0	0	0	0	0	0	0	0	0	0
88	36.67084622419347	0	8123.655872704763	36.67084622419347	33.7022888409532	35.5598748300186	33.19879878493144	0	8100.9126932048475	33.19879878493144	33.607935114419426	35.515958920791135	2	0	0	0	0	0	0	0	0	0	0	0
89	35.3003370162624	0	8219.260952123806	35.3003370162624	33.72004493178997	35.37629962013258	39.567821273324306	0	8208.075542486768	39.567821273324306	33.67415607174059	36.15959292623276	2	0	0	0	0	0	0	0	0	0	0	0
90	38.429847905043694	0	8323.341790199966	38.429847905043694	33.77180100841913	35.80892330084248	38.48887699235446	0	8312.316251007727	38.48887699235446	33.72706509284624	36.22669714947854	2	0	0	0	0	0	0	0	0	0	0	0
91	40.20227715046891	0	8432.222957482485	40.20227715046891	33.84169748822402	36.708754309102964	33.91538098410239	0	8404.17040783967	33.91538098410239	33.729112004707716	36.40032478292145	2	0	0	0	0	0	0	0	0	0	0	0
92	40.84771427512579	0	8542.852183644283	40.84771427512579	33.91703100206168	36.913468467120104	34.90857880278129	0	8498.714475430537	34.90857880278129	33.741794443396685	37.15304794085881	2	0	0	0	0	0	0	0	0	0	0	0
93	30.797512258527142	0	8626.262112677794	30.797512258527142	33.8838446324496	36.56571454429218	30.304314790633107	0	8580.788661321836	30.304314790633107	33.70522551092048	36.276266144862355	2	0	0	0	0	0	0	0	0	0	0	0
94	31.235843974757536	0	8710.85919010943	31.235843974757536	33.855970941316	35.86981684071186	32.477592544958775	0	8668.748807797767	32.477592544958775	33.6923030586472	35.16079396787531	2	0	0	0	0	0	0	0	0	0	0	0
95	32.56119549436209	0	8799.045761239993	32.56119549436209	33.8424836970769	34.573928726807154	49.648060165639386	0	8803.212304079707	49.648060165639386	33.85850886184503	35.68984704413565	2	0	0	0	0	0	0	0	0	0	0	0
