task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
100	6.555922152492656	4	4116.076887310283	13.444077847507344	20.23738333544991	7.3695869457432845	0	1480.4317269594371	12.630413054256715	13.051005287048596	1	0	0	0	1	0	0	0	0	0	0	0
101	2.313829052282628	4	4165.450781205995	17.686170947717372	14.951650294679999	7.6274190884623305	0	1514.9718486708132	12.37258091153767	12.535395480189132	1	0	0	0	1	0	0	0	0	0	0	0
102	6.275297911184719	4	4203.76557453727	13.724702088815281	19.786783809968835	7.396807525226986	3	1550.1557609962213	12.603192474773014	12.558076042672715	0	0	0	1	1	0	0	0	0	0	0	0
103	7.949478393373852	0	78.025627181502	27.94947839337385	18.440420806265553	7.301545258292538	2	1585.6056138168212	12.698454741707462	18.061218847045733	1	0	1	0	0	0	0	0	0	0	0	0
104	6.352918063392476	0	116.12373092119802	13.647081936607524	19.027159908891463	8.882009324656718	0	1666.2345565148212	28.882009324656718	22.982349306591047	2	0	0	0	0	0	0	0	0	0	0	0
105	4.515080603306986	1	159.352464236966	15.484919396693014	16.554975152058628	7.366583853408962	0	1742.6329364389212	27.36658385340896	23.243227577026868	1	1	0	0	0	0	0	0	0	0	0	0
106	0.5329241228753432	1	216.673544079993	20.532924122875343	16.46394245785612	6.5189104469850765	0	1780.2676447744211	13.481089553014924	20.23937806205373	1	1	0	0	0	0	0	0	0	0	0	0
107	6.6260161459999996	2	254.00924900574302	13.373983854	20.664539909579585	0.12953922026268927	0	1835.7393477845212	19.87046077973731	15.332782846829849	1	0	1	0	0	0	0	0	0	0	0	0
108	8.086711751863408	2	332.417985979695	28.086711751863408	18.420115575338272	7.353201792262688	0	1871.0449927811212	12.646798207737312	20.673085848202984	1	0	1	0	0	0	0	0	0	0	0	0
109	6.2003488798485975	3	370.942012023451	13.799651120151402	18.605037525979466	9.501998557134328	4	1953.4047387531211	29.50199855713433	18.733475358997016	0	0	0	1	1	0	0	0	0	0	0	0
110	6.071250294076416	3	409.82643828582104	13.928749705923584	18.620414885703884	5.948370687880596	0	1992.6322039161212	14.051629312119404	20.606062780059702	1	0	0	1	0	0	0	0	0	0	0	0
111	8.132843831036656	4	488.36396064746503	28.132843831036656	25.88928566604287	1.735439529074629	0	2043.6207685641211	18.26456047092537	21.717907212286562	1	0	0	0	1	0	0	0	0	0	0	0
112	15.606263461168368	4	587.7647794765601	35.60626346116837	36.485638762041916	12.837531853814916	0	2135.292211656021	32.837531853814916	23.173282076859692	1	0	0	0	1	0	0	0	0	0	0	0
113	25.717808993920727	3	715.3936629179221	45.71780899392073	38.33406282254078	1.5822460941611993	2	2186.7084413098214	18.4177539058388	23.36044659905671	0	0	1	1	0	0	0	0	0	0	0	0
114	13.678116012533252	1	809.4117367862441	33.67811601253325	33.28466064567761	1.1739459624835824	0	2239.2645088312215	18.826054037516418	17.945640355507106	1	1	0	0	0	0	0	0	0	0	0	0
115	0.4580569305788629	0	866.5238123841101	20.458056930578863	24.549077036800952	3.4068868768339087	0	2285.5869496333935	16.59311312316609	16.06213569169218	2	0	0	0	0	0	0	0	0	0	0	0
116	0.48894183270925495	3	920.9921831011301	19.511058167290745	24.203525953146272	7.232760085605969	0	2321.2288277277435	12.76723991439403	14.125225285292181	1	0	0	1	0	0	0	0	0	0	0	0
117	12.641462761569208	3	1012.1162666438441	32.64146276156921	22.957382936252184	6.9846771816835815	0	2357.5632705955436	13.015322818316418	12.966280545391045	1	0	0	1	0	0	0	0	0	0	0	0
118	3.2803721201034044	1	1058.791894475222	16.719627879896596	21.052483521045257	6.883721096537315	3	2394.1795492010438	13.116278903462685	12.985341390507463	0	1	0	1	0	0	0	0	0	0	0	0
119	6.203640078330029	0	1097.3067325898842	13.796359921669971	14.905564762281074	7.175577550256717	0	2429.9810618732436	12.824422449743283	13.075530297214328	2	0	0	0	0	0	0	0	0	0	0	0
120	5.799293514723347	2	1136.9503715279482	14.200706485276653	14.200706485276653	6.714110461562983	0	2467.0708368347136	13.285889538437017	13.285889538437017	1	0	1	0	0	0	0	0	0	0	0	0
