task	r0_energy	r0_config	r0_reward	r1_energy	r1_config	r1_reward	r2_energy	r2_config	r2_reward	r3_energy	r3_config	r3_reward	r4_energy	r4_config	r4_reward	r5_energy	r5_config	r5_reward	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
86	39.327011392056	9	4704.473946517276	34.635471620400004	1	4264.940760106543	50.025874670136	0	3686.7042025310343	74.26476593764	7	6271.411894507613	39.37179142301999	3	4396.03561750512	132.45639819092997	7	5830.504611684413	1	1	0	1	0	0	0	2	0	1	0	0
87	43.21816122535999	9	4747.692107742636	31.560033874824	1	4296.500793981367	50.613207607934996	0	3737.317410138969	65.887036555392	7	6337.2989310630055	41.915847572676	3	4437.9514650777965	84.75701296032001	7	5915.261624644733	1	1	0	1	0	0	0	2	0	1	0	0
88	88.25080389275199	9	4835.942911635388	67.48222999133	1	4363.983023972697	49.26075762919499	0	3786.578167768164	75.229943369625	7	6412.528874432631	36.449492887782	3	4474.4009579655785	97.4090094516	7	6012.670634096333	1	1	0	1	0	0	0	2	0	1	0	0
89	139.69402841836802	9	4975.636940053756	32.082948246636	1	4396.065972219333	50.51015771285699	0	3837.088325481021	73.4886146016	7	6486.0174890342305	46.981929425703	3	4521.382887391282	74.71163611670399	7	6087.3822702130365	1	1	0	1	0	0	0	2	0	1	0	0
90	66.02672801109	9	5041.663668064846	32.171557655552	1	4428.237529874885	50.94238938075	0	3888.0307148617712	97.09247630627999	7	6583.109965340511	36.462940404065996	3	4557.845827795348	76.74761279511199	7	6164.129883008149	1	1	0	1	0	0	0	2	0	1	0	0
91	36.543778280802	9	5078.207446345648	50.587077103724	1	4478.824606978609	32.98633412552999	0	3921.017048987301	87.86678006519999	7	6670.976745405711	37.028457453051004	3	4594.874285248398	78.31621631024801	7	6242.446099318397	1	1	0	1	0	0	0	2	0	1	0	0
92	65.291078443514	9	5143.498524789163	97.86993909257599	1	4576.694546071185	46.61235468408599	0	3967.629403671387	70.95510544715998	7	6741.931850852871	85.51626766586399	3	4680.390552914262	112.32840980872	7	6354.774509127116	1	1	0	1	0	0	0	2	0	1	0	0
93	54.858681979648	9	5198.357206768811	83.574485952174	1	4660.269032023359	32.119460355762	0	3999.748864027149	100.93341807233999	7	6842.865268925211	40.366317276846004	3	4720.756870191108	106.535551906245	7	6461.310061033361	1	1	0	1	0	0	0	2	0	1	0	0
94	51.473968746800004	9	5249.831175515611	82.81385675473399	1	4743.082888778093	44.28595392843599	0	4044.034817955585	70.10290307290498	7	6912.968171998116	58.276698199786	3	4779.033568390893	73.75324843303201	7	6535.063309466394	1	1	0	1	0	0	0	2	0	1	0	0
95	49.921840058916004	9	5299.753015574527	34.53399898367999	1	4777.616887761773	31.670315753310003	0	4075.705133708895	88.605122473824	7	7001.57329447194	45.441812276520004	3	4824.475380667413	76.773754002169	7	6611.8370634685625	1	1	0	1	0	0	0	2	0	1	0	0
